package_name,status,dependencies,resources
outcomeCriteriaFramework.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-hl7.fhir.us.outcomecriteriaframework; StructureDefinition-OutcomeCriteriaFrameworkLibrary
CH_ORF.tgz,passed,hl7.fhir.r4.core; ch.fhir.ig.ch-core; ch.fhir.ig.ch-epr-term; hl7.fhir.uv.sdc,ig-r4; ImplementationGuide-ch.fhir.ig.ch-orf; StructureDefinition-ch-orf-document; StructureDefinition-ch-orf-compositi; StructureDefinition-ch-orf-questionnaire; StructureDefinition-ch-orf-questionnaireresponse; StructureDefinition-ch-orf-servicerequest; StructureDefinition-ch-orf-documentreference; StructureDefinition-ch-orf-consent; StructureDefinition-ch-orf-coverage; StructureDefinition-ch-orf-appointment; StructureDefinition-ch-orf-precedentdocument; StructureDefinition-ch-orf-urgentnoficationcontactforthisdocument; StructureDefinition-ch-orf-urgentnoficationcontactfortheresponsetothisdocument; StructureDefinition-ch-orf-copyreceiver; ValueSet-ch-orf-vs-coveragetype; CodeSystem-ch-orf-cs-coveragetype; StructureMap-OrfQrToBundle; StructureMap-OrfBundleToQr
SNOMEDCTImplementationGuideforFHIR.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-hl7.fhir.uv.snomed; StructureDefinition-heartrate; StructureDefinition-oxygensat; StructureDefinition-AllergyIntolerance-SubstanceFocused; StructureDefinition-AllergyIntolerance-FindingFocused; StructureDefinition-headcircum; StructureDefinition-bmi; StructureDefinition-bodyweight; StructureDefinition-resprate; StructureDefinition-bp; StructureDefinition-bodyheight; StructureDefinition-bodytemp; ValueSet-syst-bp; ValueSet-resprate; ValueSet-headcircum; ValueSet-heartrate; ValueSet-bodyheight; ValueSet-oxygensat; ValueSet-bodytemp; ValueSet-bmi; ValueSet-allergyintolerance-finding-code; ValueSet-dia-bp; ValueSet-bodyweight
Carequality_Subscription_Implementation_Guide.tgz,passed,hl7.fhir.r4.core; hl7.fhir.us.core,ig-r4; ImplementationGuide-sequoiaproject.fhir.us.pushnotificati; CodeSystem-NHINPurposeOfUse; StructureDefinition-backport-topic-canonical; StructureDefinition-CEQextensi; StructureDefinition-CEQ-subscription-statu; ValueSet-CEQSubscriberPurposeofUse; StructureDefinition-CEQsubscripti; StructureDefinition-CEQNotificationBundle
RIZIV_INAMI.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-hl7.fhir.be.riziv; ExampleScenario-scenario-allergy; StructureDefinition-be-model-problem; StructureDefinition-be-model-vaccinati; StructureDefinition-be-model-addicti; StructureDefinition-be-model-scoreresult; StructureDefinition-be-model-patientwill; StructureDefinition-be-addre; StructureDefinition-be-patientwill; StructureDefinition-be-practitionerrole; StructureDefinition-be-patient; StructureDefinition-be-practitioner; ValueSet-be-vs-score; CodeSystem-be-cs-patientwill-code; CodeSystem-be-cs-care-locati; CodeSystem-be-cs-problem-category; CodeSystem-be-cs-bodysite; CodeSystem-be-cs-vaccination-status-rea; CodeSystem-be-cs-problem-origin-type; CodeSystem-be-cs-score; CodeSystem-be-cs-vaccination-confirmation-statu; CodeSystem-be-cs-vaccination-administration-route; CodeSystem-be-cs-patientwill-category; ValueSet-be-vs-patientwill-code; CodeSystem-be-cs-score-category; ValueSet-be-vs-patientwill-category; ValueSet-be-vs-problem-category; ValueSet-be-vs-laterality; ValueSet-be-vs-addiction-category; ValueSet-be-vs-bodysite; StructureDefinition-be-vaccinati; StructureDefinition-be-ext-vaccination-originalorder; ValueSet-be-vs-vaccination-confirmation-statu; ValueSet-be-vs-vaccination-administration-route; NamingSystem-be-ns-nihdi-professional; StructureDefinition-be-scoreresult; StructureDefinition-be-allergyintolerance; StructureDefinition-be-problem; StructureDefinition-be-ext-addiction-quantifier; StructureDefinition-be-addicti; StructureDefinition-be-measure; Encounter-example-encounter-uzgent; ImmunizationRecommendation-order-gabriel-flu; Observation-erythema; NamingSystem-be-ns-cnk-code; Observation-fever; StructureDefinition-be-ext-vaccination-confirmationStatu; StructureDefinition-be-ext-vaccination-locati; ImmunizationRecommendation-aymeric-rota; NamingSystem-be-ns-product-manufacturer; NamingSystem-be-ns-one-vaccinati; StructureDefinition-be-ext-problem-origin-type; ValueSet-be-vs-problem-origin-type; ValueSet-be-vs-problem-code; StructureDefinition-be-ext-administeredProduct; ValueSet-be-vs-addiction-code; StructureDefinition-be-organizati; Observation-observation-swelling; StructureDefinition-be-ext-recorder; StructureDefinition-be-ext-laterality; ValueSet-be-vs-care-locati; NamingSystem-be-ns-nihdi-organizati; ValueSet-be-vs-scorecategory; ValueSet-be-vs-vaccination-status-rea; StructureDefinition-exposure-risk; ImmunizationRecommendation-order-simon-hpv
CH_EPR.tgz,missing index.json,,
CH_eTOC.tgz,passed,hl7.fhir.r4.core; ch.fhir.ig.ch-core; ch.fhir.ig.ch-orf; hl7.fhir.uv.sdc; hl7.fhir.uv.ips,ig-r4; ImplementationGuide-ch.fhir.ig.ch-etoc; StructureDefinition-ch-etoc-questionnaire; StructureDefinition-ch-etoc-medicationstatement; StructureDefinition-ch-etoc-deviceobserver; StructureDefinition-ch-etoc-immunizati; Patient-SUfferer; StructureDefinition-ch-etoc-diagnosticreport; StructureDefinition-ch-etoc-compositi; StructureDefinition-ch-etoc-deviceusestatement; Organization-RadiologieORderfiller; Practitioner-ORderfiller; StructureDefinition-ch-etoc-servicerequest; Organization-PraxisORderplacer; Questionnaire-QuestionnaireEtoc; StructureDefinition-ch-etoc-conditi; Organization-SpitalORderfiller; StructureDefinition-ch-etoc-allergyintolerance; CodeSystem-chradorder-cs-example; StructureDefinition-ch-etoc-questionnaireresponse; ValueSet-chradorder-vs-example; StructureDefinition-ch-etoc-procedure; StructureDefinition-ch-etoc-device; Practitioner-ORderplacer; StructureDefinition-ch-etoc-document
CQFIGStarter.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-cqf.fhir.covid; CodeSystem-extended-content-code; ValueSet-pregnancytrimester-value; ValueSet-pregnancystatus-value; ValueSet-case-classification-value; ValueSet-yesnounk-value; ValueSet-sex-at-birth-value; ValueSet-why-the-case-was-tested-for-covid-19-value; StructureDefinition-contactsetting; StructureDefinition-country; StructureDefinition-ageunit; StructureDefinition-localidentifier; StructureDefinition-age; StructureDefinition-city; StructureDefinition-who-cr-patient; StructureDefinition-who-cr-observation-health-facility-visit; StructureDefinition-who-cr-observation-isolati; StructureDefinition-who-cr-organization-health-workers-organizati; StructureDefinition-who-cr-observation-pregnancy-statu; StructureDefinition-who-cr-conditions-underlying-conditi; StructureDefinition-who-cr-observation-health-worker; StructureDefinition-who-cr-conditions-comorbiditie; StructureDefinition-who-cr-observation-asymptomatic; StructureDefinition-who-cr-observation-hospital-admissi; StructureDefinition-who-cr-observation-lab-test; StructureDefinition-who-cr-observation-pregnancy-trimester; StructureDefinition-who-cr-observation-post-partum; StructureDefinition-who-cr-organization-health-worker-organizati; StructureDefinition-who-cr-observation-entry-point-detecti; StructureDefinition-who-cr-observation-outcome; StructureDefinition-who-cr-communication-outcome-report; StructureDefinition-who-cr-observation-icu; StructureDefinition-who-cr-observation-travel-history; StructureDefinition-who-cr-observation-contact-followup; StructureDefinition-system-generated-case-id; StructureDefinition-who-cr-observation-confirmed-case-exposure; StructureDefinition-who-cr-observation-labratory-confirmati; StructureDefinition-who-cr-observation-covid-testing-rea; StructureDefinition-who-cr-communicati; StructureDefinition-who-cr-observation-ventelati; StructureDefinition-who-cr-organization-reporting-organizati; StructureDefinition-who-cr-observation-symptom; StructureDefinition-who-cr-conditions-symptom; StructureDefinition-who-cr-observation-ecm; StructureDefinition-who-cr-locati; StructureDefinition-who-cr-organization-health-worker-facility; StructureDefinition-who-cr-observation-case-classificati
HarmonIQ Implementation Guide - Diabetes Management.tgz,missing index.json,,
BirthDefectReportingImplementationGuide.tgz,missing mandatory manifest key,,
VaccineYellowCardIG.tgz,missing mandatory manifest key,,
USCoreR4.tgz,missing index.json,,
OphthalmologyImplementationGuide.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-ophthalmology.fhir.uv.ig; ValueSet-ophthalmology-iop-method; StructureDefinition-observation-visual-acuity; ValueSet-ophthalmology-observable-entitie; ValueSet-ophthalmology-observation-va; StructureDefinition-observation-nvi; ValueSet-ophthal-visual-acuity-method; StructureDefinition-observation-rapd; ValueSet-ophthalmology-observation-cataract; ValueSet-ophthalmology-conditions-icd10; StructureDefinition-observation-vertical-cdr; StructureDefinition-observation-base; StructureDefinition-condition-base; CodeSystem-codesystem-iop-rebound-tonometry; ValueSet-ophthalmology-conditions-snomed; StructureDefinition-observation-nva; StructureDefinition-observation-cataract; ValueSet-ophthalmology-observation-nvi; StructureDefinition-laterality; StructureDefinition-observation-iop; StructureDefinition-observation-horizontal-cdr; ValueSet-ophthalmology-observation-nva; Bundle-h1
QICore.tgz,passed,hl7.fhir.r4.core; hl7.fhir.us.core,ig-r4; ImplementationGuide-hl7.fhir.us.qicore; StructureDefinition-qicore-adverseevent; StructureDefinition-qicore-allergyintolerance; StructureDefinition-qicore-bodystructure; StructureDefinition-qicore-claim; StructureDefinition-qicore-carepla; StructureDefinition-qicore-careteam; StructureDefinition-qicore-communicati; StructureDefinition-qicore-communicationnotdone; StructureDefinition-qicore-communicationrequest; StructureDefinition-qicore-conditi; StructureDefinition-qicore-coverage; StructureDefinition-qicore-device; StructureDefinition-qicore-devicenotrequested; StructureDefinition-qicore-devicerequest; StructureDefinition-qicore-notDoneRea; StructureDefinition-qicore-notDone; StructureDefinition-qicore-recorded; StructureDefinition-qicore-doNotPerformRea; StructureDefinition-qicore-deviceusestatement; StructureDefinition-qicore-diagnosticreport-lab; StructureDefinition-qicore-diagnosticreport-note; StructureDefinition-qicore-encounter-procedure; StructureDefinition-qicore-encounter; StructureDefinition-qicore-familymemberhistory; StructureDefinition-qicore-flag; StructureDefinition-qicore-goal; StructureDefinition-qicore-imagingstudy; StructureDefinition-qicore-immunizati; StructureDefinition-qicore-immunizationnotdone; StructureDefinition-qicore-immunizationevaluati; StructureDefinition-qicore-immunizationrec; StructureDefinition-qicore-locati; StructureDefinition-qicore-medicati; StructureDefinition-qicore-medicationadministrati; StructureDefinition-qicore-mednotadministered; StructureDefinition-qicore-medicationdispense; StructureDefinition-qicore-medicationnotdispensed; StructureDefinition-qicore-medicationstatement; StructureDefinition-qicore-medicationnotrequested; StructureDefinition-qicore-medicationrequest; StructureDefinition-qicore-nutritionorder; StructureDefinition-qicore-observati; StructureDefinition-qicore-observationnotdone; StructureDefinition-qicore-organizati; StructureDefinition-qicore-patient; StructureDefinition-qicore-practitioner; StructureDefinition-qicore-practitionerrole; StructureDefinition-qicore-procedure; StructureDefinition-qicore-procedurenotdone; StructureDefinition-qicore-relatedper; StructureDefinition-qicore-servicenotrequested; StructureDefinition-qicore-isElective; StructureDefinition-qicore-servicerequest; StructureDefinition-qicore-specime; StructureDefinition-qicore-substance; StructureDefinition-qicore-task; Condition-appendicitis-example; CodeSystem-appropriateness-score; CodeSystem-communication-medium; CodeSystem-condition-criticality; CodeSystem-diagnosticorder-preconditi; CodeSystem-observation-verificati; ValueSet-qicore-allergyintolerance-reason-refuted; ValueSet-qicore-appropriateness-score; ValueSet-qicore-bodystructure-precoordinated; ValueSet-qicore-communication-reason-not-performed; ValueSet-qicore-condition-certainty; ValueSet-qicore-condition-criticality; ValueSet-qicore-condition-stage; ValueSet-qicore-encounter-canceled-rea; ValueSet-qicore-encounter-condition-role; ValueSet-qicore-flag-category; ValueSet-qicore-goal-reason-rejected; ValueSet-qicore-medication-dose-type; ValueSet-qicore-negation-rea; ValueSet-qicore-observation-body-positi; ValueSet-qicore-observation-delta; ValueSet-qicore-observation-verificati; ValueSet-qicore-patient-disability; ValueSet-qicore-priority; ValueSet-qicore-procedure-type; ValueSet-qicore-servicerequest-reason-rejected; StructureDefinition-qicore-encounter-diagnosisPresentOnAdmissi; StructureDefinition-qicore-servicerequest-appropriatenessScore
NorthernRegionIG.tgz,passed,hl7.fhir.r4.core; hl7.fhir.nz.nhi; hl7.fhir.nz.hpi,ig-r4; ImplementationGuide-hl7.fhir.nz.northernregi; StructureDefinition-NrLocati; StructureDefinition-NrOrganizati; StructureDefinition-NrPatient; StructureDefinition-NrPractitioner; StructureDefinition-NrPractitionerRole; StructureDefinition-authorized-by-patient; StructureDefinition-contactpoint-other; StructureDefinition-current-occupati; StructureDefinition-validated-by-patient; ValueSet-contact-point-other; CodeSystem-contact-point-other; CapabilityStatement-HaCapabilityStatement
SEBaseProfileImplementationGuide.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-se-baseprofile; StructureDefinition-SEBaseHumanName; StructureDefinition-SEBaseLMANummer; StructureDefinition-SEBasePatient; StructureDefinition-SEBasePractitioner; StructureDefinition-SEBasePractitionerRole; StructureDefinition-SEBaseAddressPersonExtensi; StructureDefinition-SEBaseMiddleNameExtensi; StructureDefinition-SEBaseOwnFamilyExtensi; ValueSet-SEBaseAddressPersonVS; ValueSet-SEBaseNamePartQualifierVS; ValueSet-SEBasePrescriberCodeTypeVS; ValueSet-SecurityLabelVS; CodeSystem-SEBasePrescriberCodeTypeCS; CodeSystem-SecurityLabel
ELTSS.tgz,missing index.json,,
NewZealandNHIIG.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-hl7.org.nz.fhir.ig.nhi; StructureDefinition-NhiAddre; StructureDefinition-NhiPatient; StructureDefinition-NzAddre; StructureDefinition-birth-place; StructureDefinition-building-name; StructureDefinition-domicile-code; StructureDefinition-esam-id; StructureDefinition-gp-practice-enrollment-date; StructureDefinition-information-source; StructureDefinition-is-primary-addre; StructureDefinition-nz-residency-statu; StructureDefinition-nhi-address-derived; StructureDefinition-not-validated-address-rea; StructureDefinition-nz-citizenship; StructureDefinition-nz-ethnicity; StructureDefinition-nz-geocode; StructureDefinition-patient-iwi; StructureDefinition-sex-at-birth; StructureDefinition-suburb; ValueSet-nz-additional-sex-code; ValueSet-AddressNotValidatedRea; ValueSet-domicile-code; ValueSet-ethnicity; ValueSet-information-source; ValueSet-Iwi; ValueSet-nz-residency-statu; ValueSet-nz-citizenship-statu; CodeSystem-nz-additional-sex-code; CodeSystem-AddressNotValidated; CodeSystem-domicile-code; CodeSystem-ethnicityL4; CodeSystem-information-source; CodeSystem-Iwi; CodeSystem-nz-residency-statu; CodeSystem-nz-citizenship-statu; CapabilityStatement-NhiCapabilityStatement; NamingSystem-nhi
HotBeverage.tgz,missing mandatory manifest key,,
TransfusionVaccinationAdverseEventDetectionReporting.tgz,missing mandatory manifest key,,
SAFECOVIDeCR.tgz,missing mandatory manifest key,,
PatientReportedOutcomes.tgz,missing index.json,,
AdverseDrugEventHypoglycemia.tgz,passed,hl7.fhir.r4.core; hl7.fhir.us.core; us.nlm.vsac,ig-r4; ImplementationGuide-hl7.fhir.us.ade-hyp; StructureDefinition-Composition-ade-hypoglycemia; StructureDefinition-MedicationAdministration-Antidiabetic; StructureDefinition-Observation-lab-blood-glucose
medtechIG.tgz,passed,hl7.fhir.r4.core; hl7.org.nz.fhir.ig.nhi,ig-r4; ImplementationGuide-hl7.org.nz.fhir.ig.medtech; StructureDefinition-mtAllergyIntolerance; StructureDefinition-mtAppointment; StructureDefinition-mtConditi; StructureDefinition-mtDiagnosticReport; StructureDefinition-mtDocumentReference; StructureDefinition-mtImmunizati; StructureDefinition-mtLab-observati; StructureDefinition-mtLocati; StructureDefinition-mtMedicationRequest; StructureDefinition-mtMedicationStatement; StructureDefinition-mtPatient; StructureDefinition-mtPractitioner; StructureDefinition-mtSchedule; StructureDefinition-mtScreening-observati; StructureDefinition-mtSlot; StructureDefinition-highlight-conditi; StructureDefinition-long-term-conditi; StructureDefinition-nzeps-long-term-medicati; StructureDefinition-patient-nes-enrolment; SearchParameter-LongTermConditi; SearchParameter-LongTermMedicati; CapabilityStatement-medTech
MedicationRecord.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-ihe-fhir-pharm-medicationrecord; StructureDefinition-medication-treatment-record
hl7.davinci.template.tgz,passed,hl7.fhir.template,README.md
CH_EMED.tgz,passed,hl7.fhir.r4.core; ch.fhir.ig.ch-core,ig-r4; ImplementationGuide-ch.fhir.ig.ch-emed; Binary-2-6-pdf; Binary-2-7-pdf; DocumentReference-DocRef-1-1-MedicationTreatmentPla; DocumentReference-DocRef-1-2-MedicationDispense; DocumentReference-DocRef-2-1-MedicationList; DocumentReference-DocRef-2-2-PharmaceuticalAdvice; DocumentReference-DocRef-2-3-MedicationTreatmentPla; DocumentReference-DocRef-2-7-MedicationCard; Organization-Cara; Organization-Custodia; Organization-Hausarzt; Patient-MonikaWegmueller; Patient-MonikaWegmuellerRecipient; Practitioner-FamilienHausarzt; CodeSystem-edqm-standardterm; CodeSystem-ihe-pharmaceuticaladvicestatuslist; StructureDefinition-ch-emed-composition-medicationcard; StructureDefinition-ch-emed-composition-medicationdispense; StructureDefinition-ch-emed-composition-medicationlist; StructureDefinition-ch-emed-composition-medicationprescripti; StructureDefinition-ch-emed-composition-medicationtreatmentpla; StructureDefinition-ch-emed-composition-pharmaceuticaladvice; StructureDefinition-ch-emed-document-medicationcard; StructureDefinition-ch-emed-document-medicationdispense; StructureDefinition-ch-emed-document-medicationlist; StructureDefinition-ch-emed-document-medicationprescripti; StructureDefinition-ch-emed-document-medicationtreatmentpla; StructureDefinition-ch-emed-document-pharmaceuticaladvice; StructureDefinition-ch-emed-dosage-nonstructured; StructureDefinition-ch-emed-dosage-structured-medicationrequest; StructureDefinition-ch-emed-dosage-structured; StructureDefinition-ch-emed-ext-documentauthor; StructureDefinition-ch-emed-ext-dispense; StructureDefinition-ch-emed-ext-dosagetype; StructureDefinition-ch-emed-ext-pharmaceuticaladvice; StructureDefinition-ch-emed-ext-prescripti; StructureDefinition-ch-emed-ext-representedorganizati; StructureDefinition-ch-emed-ext-substituti; StructureDefinition-ch-emed-ext-treatmentpla; StructureDefinition-ch-emed-ext-treatmentrea; StructureDefinition-ch-emed-medication-medicationdispense; StructureDefinition-ch-emed-medicati; StructureDefinition-ch-emed-medicationdispense; StructureDefinition-ch-emed-medicationrequest; StructureDefinition-ch-emed-medicationstatement-card; StructureDefinition-ch-emed-medicationstatement-treatmentpla; StructureDefinition-ch-emed-observati; StructureDefinition-ch-emed-quantity; StructureDefinition-ch-emed-range; StructureDefinition-ch-emed-rati; ValueSet-ActivePharmaceuticalIngredient; ValueSet-edqm-pharmaceuticaldoseform; ValueSet-edqm-routeofadministrati; ValueSet-ihe-pharmaceuticaladvicestatuslist; ValueSet-UnitsOfPresentati
FPCDS.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-fhir.who.fp-cd; CodeSystem-extended-content-code; ValueSet-current-medications-value; ValueSet-fp-recommended-care-value; ValueSet-medicaleligibilityobservations-value; ValueSet-backupcontraceptivemethod-value; ValueSet-medical-eligibility-text-classification-value; ValueSet-iud-insertion-status-value; ValueSet-reason-for-family-planning-visit-value; ValueSet-contraception-issues-and-concerns-value; ValueSet-breastfeeding-status-value; ValueSet-pregnancy-intention-value; ValueSet-medicaleligibilityconditions-value; ValueSet-medicaleligibilitynumber-value; ValueSet-cigarettes-smoked-per-day-value; ValueSet-contraceptivedeliverymethod-value; ValueSet-reason-for-no-method-at-exit-value; StructureDefinition-deliverymethod; StructureDefinition-who-fp-careplan-backup-contraceptive-method; StructureDefinition-who-fp-observation-medical-eligibility; StructureDefinition-who-fp-careplan-requested-contraceptive-method; StructureDefinition-who-fp-medicationstatement-exit-contraceptive-method; StructureDefinition-who-fp-procedure-exit-contraceptive-method; StructureDefinition-who-fp-observation-smoking-statu; StructureDefinition-who-fp-careplan-recommendati; StructureDefinition-who-fp-observation-test-result; StructureDefinition-who-fp-condition-medical-eligibility; StructureDefinition-who-fp-observation-reason-for-no-contraceptive-method-at-exit; StructureDefinition-who-fp-procedure-service-provided; StructureDefinition-who-fp-healthcareservice; StructureDefinition-who-fp-consent; StructureDefinition-who-fp-observation-days-since-last-normal-mense; StructureDefinition-who-fp-observation-pregnancy-intenti; StructureDefinition-who-fp-observation-breastfeeding-statu; StructureDefinition-who-fp-observation-reason-for-stopping-contracepti; StructureDefinition-who-fp-observation-medical-eligibility-number; StructureDefinition-who-fp-encounter; StructureDefinition-who-fp-medicationstatement-requested-contraceptive-method; StructureDefinition-who-fp-procedure-requested-contraceptive-method; StructureDefinition-who-fp-deviceusestatement-exit-contraceptive-method; StructureDefinition-who-fp-observation-intercourse-since-last-normal-mense; StructureDefinition-who-fp-careplan-exit-contraceptive-method; StructureDefinition-who-fp-observation-medical-eligibility-text; StructureDefinition-who-fp-encounter-contraception-issues-and-concer; StructureDefinition-who-fp-medicationstatement-current-medicati; StructureDefinition-who-fp-observation-missed-or-late-mense; StructureDefinition-who-fp-deviceusestatement-requested-contraceptive-method
BulkDataAccessIG.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-hl7.fhir.uv.bulkdata; ValueSet-include-associated-data; OperationDefinition-export; OperationDefinition-group-export; OperationDefinition-patient-export; CodeSystem-include-associated-data; CapabilityStatement-bulk-data
DaVinciHealthRecordExchangeHRex.tgz,passed,hl7.fhir.r4.core; hl7.fhir.us.core,ig-r4; ImplementationGuide-hl7.fhir.us.davinci-hrex; Bundle-subscription-notification-with-document; SearchParameter-hrex-coverage-subscriber; SearchParameter-hrex-provenance-target; StructureDefinition-hrex-organizati; OperationDefinition-member-match; StructureDefinition-hrex-provenance; SearchParameter-hrex-coverage-payor; SearchParameter-hrex-coverage-subscriberId; SearchParameter-hrex-coverage-identifier; StructureDefinition-hrex-task-data-request; SearchParameter-hrex-coverage-patient; StructureDefinition-hrex-practitionerrole; CodeSystem-hrex-temp; StructureDefinition-hrex-parameters-member-match-i; StructureDefinition-hrex-practitioner; ValueSet-hrex-task-statu; StructureDefinition-hrex-parameters-member-match-out; StructureDefinition-hrex-coverage
SmartWebMessaging.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-hl7.fhir.smart-web-messaging
SC Base Data IG.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-SC-Base-Data-IG; StructureDefinition-organization-picture; ValueSet-hierarchy-kind-v; StructureDefinition-ChineseEthnicity; StructureDefinition-hospital-bed; StructureDefinition-degree-of-educati; ValueSet-physiological-gender-v; ValueSet-location-role-type-v; ValueSet-marital-status-v; StructureDefinition-Nationality; ValueSet-family-relationship-v; StructureDefinition-SimpleQuantity; StructureDefinition-BriefIntroducti; ValueSet-administrative-division-of-China-v; StructureDefinition-Department; ValueSet-identity-document-type-v; ValueSet-contact-point-system-v; ValueSet-contact-point-use-v; StructureDefinition-PractitionerRole; StructureDefinition-Per; StructureDefinition-sexual-distinction-of-huma; StructureDefinition-Telephone; ValueSet-ICD-10-morphology-coding-v; StructureDefinition-Practitioner; StructureDefinition-Reference; StructureDefinition-Identifier; StructureDefinition-ContactDetail; StructureDefinition-Coding; ValueSet-operation-status-v; ValueSet-hospitallevel-v; ValueSet-location-physical-type-v; ValueSet-Classification-for-organizations-v; StructureDefinition-Quantity; StructureDefinition-CodeableConcept; StructureDefinition-ContactPoint; StructureDefinition-Annotati; StructureDefinition-Attachment; ValueSet-practitioner-qualification-v; ValueSet-location-status-v; ValueSet-nationalities-v; StructureDefinition-date-start-work; ValueSet-economic-type-classification-v; StructureDefinition-is-work-for-multi-org; StructureDefinition-administrative-divisi; ValueSet-name-type-v; StructureDefinition-Patient; StructureDefinition-Hospital; StructureDefinition-Addre; StructureDefinition-ChineseName; StructureDefinition-EndemicArea; StructureDefinition-Period; ValueSet-practice-setting-code-v; ValueSet-address-use-v; StructureDefinition-politic-affiliati; ValueSet-education-v
Care Connect API.tgz,missing mandatory manifest key,,
LCS_CDS.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-fhir.lcs.lcs-cd; Library-library-LungCancerScreening-0.1.0; Library-library-FHIRHelpers-4.0.0; Library-library-FHIRCommon-4.0.0; PlanDefinition-lcs-cds-patient-view; Observation-observation-Former-Smoker-2; Procedure-procedure-Former-Smoker-1; Observation-observation-Heavy-Smoker-1; Observation-observation-Never-Smoker-1; Patient-Never-Smoker; Condition-condition-Former-Smoker-1; Patient-Former-Smoker; Procedure-procedure-Heavy-Smoker-1; Patient-Heavy-Smoker; Condition-example-condition-2; Observation-observation-Former-Smoker-1; CodeSystem-proc-code; ValueSet-currentsmoker; ValueSet-chest-ct-proc-code; ValueSet-conditionclinical; ValueSet-us-core-observation-smokingstatu; ValueSet-2.16.840.1.113762.1.4.1116.89
FHIRPath.tgz,missing mandatory manifest key,,
GenomicsReporting.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-hl7.fhir.uv.genomics-reporting; StructureDefinition-task-rec-followup; Organization-ExampleOrg; ValueSet-condition-inheritance-v; ValueSet-variant-inheritance; CodeSystem-SequencePhaseRelationshipCS; Patient-CGPatientExample01; ValueSet-tbd; StructureDefinition-genomics-base; StructureDefinition-sequence-phase-relationship; StructureDefinition-genotype; StructureDefinition-servicerequest; ValueSet-molecular-consequence; StructureDefinition-diagnosticReport-risk; ValueSet-hgnc; StructureDefinition-region-studied; StructureDefinition-variant; ValueSet-high-low-code; StructureDefinition-grouper; ValueSet-dna-change-type; StructureDefinition-CGRelatedArtifact; StructureDefinition-finding; OperationDefinition-find-subject-variant; CodeSystem-TbdCode; ValueSet-hgv; StructureDefinition-diagnostic-implicati; StructureDefinition-overall-interpretati; StructureDefinition-task-med-chg; StructureDefinition-haplotype; ConceptMap-dna-change-type-map; StructureDefinition-therapeutic-implicati; ValueSet-functional-effect; CodeSystem-ConditionInheritanceModeCS; StructureDefinition-tmb; StructureDefinition-genomics-report; StructureDefinition-SupportingInf; StructureDefinition-msi; ValueSet-seq-phase-relationship; StructureDefinition-implicati; StructureDefinition-RecommendedActi
UEC Raphael.tgz,passed,hl7.fhir.r3.core,ig-r4; ImplementationGuide-uec-raphael-stu3; MessageDefinition-patient-referral; MessageDefinition-response-patient-referral; MessageDefinition-modify-patient-referral; MessageDefinition-cancel-patient-referral; MessageDefinition-notification-admit; MessageDefinition-notification-discharge
FHIRShorthand.tgz,passed,hl7.fhir.r4.core,ig-r4; ImplementationGuide-hl7.fhir.uv.shorthand
